1541,Grande Prairie,Canada,YQU,CYQU,55.1796989441,-118.885002136,122,Grande Prairie Airport,,"{'1491': {106: 96}, '1579': {106: 96}}"
1543,Gamètì,Canada,YRA,CYRA,64.116096496582,-117.309997558594,5526,Rae Lakes Airport,,{'1590': {70: 97}}
1544,Resolute,Canada,YRB,CYRB,74.7169036865,-94.9693984985,128,Resolute Bay Airport,,"{'1469': {96: 70}, '1503': {90: 97}}"
1545,Red Lake,Canada,YRL,CYRL,51.0668983459473,-93.793098449707,5527,Red Lake Airport,,"{'1565': {94: 106}, '1504': {94: 106}, '1570': {94: 106}}"
1546,Rankin Inlet,Canada,YRT,CYRT,62.8114013672,-92.1157989502,132,Rankin Inlet Airport,,"{'1495': {96: 79, 79: 79}, '1478': {96: 70, 78: 70}, '1565': {96: 79, 78: 105}, '1492': {96: 70, 78: 70}, '1590': {96: 79, 79: 79}, '1558': {78: 70}, '1571': {96: 70, 78: 70}, '1591': {78: 70}, '1486': {96: 70, 78: 70}, '1585': {78: 105}}"
1547,Sudbury,Canada,YSB,CYSB,46.625,-80.7988967895508,133,Sudbury Airport,,"{'1475': {94: 106}, '1554': {94: 106}, '1555': {95: 96}, '1578': {94: 106}}"
1548,Lutselk'e,Canada,YSG,CYSG,46.0964012146,-70.7146987915,5511,St Georges Airport,,{'1590': {70: 97}}
1550,Sanikiluaq,Canada,YSK,CYSK,56.5377998352,-79.2466964722,5529,Sanikiluaq Airport,,{'1565': {78: 70}}
1552,Cape Dorset,Canada,YTE,CYTE,64.2300033569,-76.5267028809,140,Cape Dorset Airport,,"{'1495': {96: 70}, '1591': {96: 70}}"
1553,Thompson,Canada,YTH,CYTH,55.8011016845703,-97.8641967773438,141,Thompson Airport,,"{'1565': {78: 70}, '1585': {78: 70}, '1546': {78: 70}, '1497': {78: 105}, '1533': {78: 105}, '1502': {78: 70}}"
