,7F,96,2354,,,YUX,1559,148,,,,,AT4,70,YFB,1495,55
,7F,96,2354,,,YUX,1559,148,,,,,AT4,70,YGT,1500,5495
,7F,96,2354,,,YVM,1560,152,,,,,AT4,70,YXP,1572,170
,7F,96,2354,,,YVP,1562,154,,,,,737,79,YFB,1495,55
,7F,96,2354,,,YVP,1562,154,,,,,737,79,YUL,1557,146
,7F,96,2354,,,YVQ,1563,155,,,,,737,79,YEV,1493,54
,7F,96,2354,,,YVQ,1563,155,,,,,737,79,YZF,1590,196
,7F,96,2354,,,YWG,1565,160,,,,,737 AT4,79,YRT,1546,132
,7F,96,2354,,,YXN,1571,5534,,,,,AT4,70,YEK,1492,50
,7F,96,2354,,,YXN,1571,5534,,,,,AT4,70,YRT,1546,132
,7F,96,2354,,,YXP,1572,170,,,,,AT4,70,YFB,1495,55
,7F,96,2354,,,YXP,1572,170,,,,,AT4,70,YVM,1560,152
,7F,96,2354,,,YYH,1583,183,,,,,AT7,72,YHK,1507,69
,7F,96,2354,,,YYH,1583,183,,,,,AT7,72,YZF,1590,196
,7F,96,2354,,,YZF,1590,196,,,,,737 AT7,79,YCB,1482,32
,7F,96,2354,,,YZF,1590,196,,,,,AT7,72,YCO,1485,37
,7F,96,2354,,,YZF,1590,196,,,,,737 737,79,YEG,1491,49
,7F,96,2354,,,YZF,1590,196,,,,,AT4 AT7,70,YFS,1498,60
,7F,96,2354,,,YZF,1590,196,,,,,AT7 AT4,72,YHK,1507,69
,7F,96,2354,,,YZF,1590,196,,,,,AT4 AT7,70,YHY,1511,72
,7F,96,2354,,,YZF,1590,196,,,,,737,79,YRT,1546,132
,7F,96,2354,,,YZF,1590,196,,,,,737,79,YVQ,1563,155
,7F,96,2354,,,YZS,1591,41,,,,,AT4,70,YCS,1486,5487
,7F,96,2354,,,YZS,1591,41,,,,,AT4,70,YTE,1552,140
,7H,84,16726,,,ANC,1936,3774,,,,,DH3,95,KSM,1954,6718
,7H,84,16726,,,ANC,1936,3774,,,,,DH3,95,UNK,1958,7088
,7H,84,16726,,,FAI,1913,3832,,,,,DH3,95,SCC,1949,3620
,7H,84,16726,,,KSM,1954,6718,,,,,DH3,95,ANC,1936,3774
,7H,84,16726,,,SCC,1949,3620,,,,,DH3,95,FAI,1913,3832
,7H,84,16726,,,UNK,1958,7088,,,,,DH3,95,ANC,1936,3774
,7S,97,,,,ANI,1937,5967,,,,,CNA,92,HCR,1919,5962
,7S,97,,,,ANI,1937,5967,,,,,CNA,92,KLG,1932,5964
,7S,97,,,,HCR,1919,5962,,,,,CNA,92,ANV,1939,6713
,7S,97,,,,KLG,1932,5964,,,,,CNA,92,RSH,1946,7098
,7S,97,,,,RSH,1946,7098,,,,,CNA,92,ANI,1937,5967
,7S,97,,,,SHX,1923,7090,,,,,CNA,92,ANI,1937,5967
,7S,97,,,,ANI,1937,5967,,,,,CNA,92,SHX,1923,7090
,8E,76,1472,,,ABL,1914,7177,,,,,CNC,93,OTZ,1942,3693
,8E,76,1472,,,ABL,1914,7177,,,,,CNC,93,SHG,1916,7117
,8E,76,1472,,,BKC,1903,7178,,,,,CNC,93,DRG,1908,6755
,8E,76,1472,,,BKC,1903,7178,,,,,CNC,93,OTZ,1942,3693
,8E,76,1472,,,DRG,1908,6755,,,,,CNC,93,BKC,1903,7178
,8E,76,1472,,,DRG,1908,6755,,,,,CNC,93,OTZ,1942,3693
,8E,76,1472,,,ELI,1967,7184,,,,,PA2,112,GLV,1917,7185
,8E,76,1472,,,ELI,1967,7184,,,,,CNC,93,KKA,1927,7190
,8E,76,1472,,,ELI,1967,7184,,,,,CNC,93,OME,1941,3615
,8E,76,1472,,,GLV,1917,7185,,,,,CNC,93,ELI,1967,7184
,8E,76,1472,,,GLV,1917,7185,,,,,PA2,112,WMO,1963,7188
,8E,76,1472,,,IAN,1924,7179,,,,,CNC,93,ORV,1970,7181
,8E,76,1472,,,IAN,1924,7179,,,,,CNC,93,OTZ,1942,3693
,8E,76,1472,,,KKA,1927,7190,,,,,CNC,93,OME,1941,3615
,8E,76,1472,,,KKA,1927,7190,,,,,CNC,93,SKK,1971,7192
,8E,76,1472,,,KTS,1968,7183,,,,,CNC,93,OME,1941,3615
,8E,76,1472,,,KTS,1968,7183,,,,,CNC,93,WAA,1925,7187
,8E,76,1472,,,KVL,1961,6719,,,,,CNC,93,OTZ,1942,3693
,8E,76,1472,,,LUR,1933,3413,,,,,CNC,93,OTZ,1942,3693
,8E,76,1472,,,OTZ,1942,3693,,,,,CNC,93,LUR,1933,3413
,8E,76,1472,,,OBU,1940,7180,,,,,CNC,93,ABL,1914,7177
,8E,76,1472,,,OBU,1940,7180,,,,,CNC,93,OTZ,1942,3693
,8E,76,1472,,,OME,1941,3615,,,,,PA2,112,ELI,1967,7184
,8E,76,1472,,,OME,1941,3615,,,,,CNC,93,KKA,1927,7190
,8E,76,1472,,,OME,1941,3615,,,,,PA2,112,OTZ,1942,3693
,8E,76,1472,,,OME,1941,3615,,,,,CNC,93,TLA,1957,7186
,8E,76,1472,,,OME,1941,3615,,,,,CNC,93,TNC,1956,7194
,8E,76,1472,,,OME,1941,3615,,,,,PA2,112,UNK,1958,7088
,8E,76,1472,,,OME,1941,3615,,,,,CNC,93,WMO,1963,7188
,8E,76,1472,,,ORV,1970,7181,,,,,CNC,93,IAN,1924,7179
,8E,76,1472,,,ORV,1970,7181,,,,,CNC,93,OTZ,1942,3693
,8E,76,1472,,,OTZ,1942,3693,,,,,CNC,93,ABL,1914,7177
,8E,76,1472,,,OTZ,1942,3693,,,,,CNC,93,BKC,1903,7178
,8E,76,1472,,,OTZ,1942,3693,,,,,CNC,93,DRG,1908,6755
,8E,76,1472,,,OTZ,1942,3693,,,,,CNC,93,IAN,1924,7179
,8E,76,1472,,,OTZ,1942,3693,,,,,CNC,93,KVL,1961,6719
,8E,76,1472,,,OTZ,1942,3693,,,,,PA2,112,OME,1941,3615
,8E,76,1472,,,OTZ,1942,3693,,,,,CNC,93,ORV,1970,7181
,8E,76,1472,,,OTZ,1942,3693,,,,,CNC,93,SHG,1916,7117
,8E,76,1472,,,OTZ,1942,3693,,,,,CNC,93,WLK,1953,7182
,8E,76,1472,,,OTZ,1942,3693,,,,,CNC,93,WTK,1964,6725
,8E,76,1472,,,SHG,1916,7117,,,,,CNC,93,OBU,1940,7180
,8E,76,1472,,,SKK,1971,7192,,,,,CNC,93,KKA,1927,7190
,8E,76,1472,,,SKK,1971,7192,,,,,CNC,93,OME,1941,3615
,8E,76,1472,,,SKK,1971,7192,,,,,CNC,93,UNK,1958,7088
,8E,76,1472,,,TLA,1957,7186,,,,,CNC,93,KTS,1968,7183
,8E,76,1472,,,TNC,1956,7194,,,,,CNC,93,WAA,1925,7187
,8E,76,1472,,,UNK,1958,7088,,,,,CNC,93,SKK,1971,7192
,8E,76,1472,,,UNK,1958,7088,,,,,CNC PA2,93,SMK,1935,7191
,8E,76,1472,,,WAA,1925,7187,,,,,CNC,93,OME,1941,3615
,8E,76,1472,,,WAA,1925,7187,,,,,CNC,93,SHH,1951,6723
,8E,76,1472,,,WLK,1953,7182,,,,,CNC,93,OTZ,1942,3693
,8E,76,1472,,,WMO,1963,7188,,,,,CNC,93,GLV,1917,7185
,8E,76,1472,,,WMO,1963,7188,,,,,PA2,112,OME,1941,3615
,8E,76,1472,,,WTK,1964,6725,,,,,CNC,93,KVL,1961,6719
,8E,76,1472,,,WTK,1964,6725,,,,,CNC,93,OTZ,1942,3693
,8T,70,68,,,YFJ,1468,7277,,,,,DHT,97,YZF,1590,196
,8T,70,68,,,YFS,1498,60,,,,,DHT,97,YZF,1590,196
,8T,70,68,,,YLE,1467,5463,,,,,DHT,97,YZF,1590,196
,8T,70,68,,,YRA,1543,5526,,,,,DHT,97,YZF,1590,196
,8T,70,68,,,YSG,1548,5511,,,,,DHT,97,YZF,1590,196
,8T,70,68,,,YZF,1590,196,,,,,DHT,97,YFJ,1468,7277
,8T,70,68,,,YZF,1590,196,,,,,DHT,97,YFS,1498,60
,8T,70,68,,,YZF,1590,196,,,,,DHT,97,YLE,1467,5463
,8T,70,68,,,YZF,1590,196,,,,,DHT,97,YRA,1543,5526
,8T,70,68,,,YZF,1590,196,,,,,DHT,97,YSG,1548,5511
,8V,107,55,,,AET,1966,6839,,,,,CNC,93,BTT,1905,3417
,8V,107,55,,,AET,1966,6839,,,,,CNC,93,FAI,1913,3832
,8V,107,55,,,AET,1966,6839,,,,,CNC,93,HUS,1922,7107
,8V,107,55,,,AKP,1929,6712,,,,,CNC,93,BTT,1905,3417
,8V,107,55,,,AKP,1929,6712,,,,,PA2,112,FAI,1913,3832
,8V,107,55,,,ARC,1945,6729,,,,,CNC,93,VEE,1960,7114
,8V,107,55,,,BTT,1905,3417,,,,,CNC,93,AET,1966,6839
,8V,107,55,,,BTT,1905,3417,,,,,CNC,93,AKP,1929,6712
,8V,107,55,,,BTT,1905,3417,,,,,CNC,93,FAI,1913,3832
,8V,107,55,,,FAI,1913,3832,,,,,CNC,93,AET,1966,6839
,8V,107,55,,,FAI,1913,3832,,,,,PA2,112,AKP,1929,6712
,8V,107,55,,,FAI,1913,3832,,,,,CNC,93,BTT,1905,3417
,8V,107,55,,,FAI,1913,3832,,,,,CNC,93,FYU,1972,3420
,8V,107,55,,,FAI,1913,3832,,,,,CNC,93,GAL,1915,3764
,8V,107,55,,,FAI,1913,3832,,,,,CNC,93,RBY,1947,6722
,8V,107,55,,,FYU,1972,3420,,,,,CNC,93,FAI,1913,3832
,8V,107,55,,,FYU,1972,3420,,,,,CNC,93,VEE,1960,7114
,8V,107,55,,,GAL,1915,3764,,,,,CNC,93,KAL,1931,6717
,8V,107,55,,,GAL,1915,3764,,,,,CNC,93,NUL,1938,7111
,8V,107,55,,,HSL,1920,7108,,,,,CNC,93,HUS,1922,7107
,8V,107,55,,,HSL,1920,7108,,,,,CNC,93,RBY,1947,6722
,8V,107,55,,,HUS,1922,7107,,,,,CNC,93,FAI,1913,3832
,8V,107,55,,,KAL,1931,6717,,,,,CNC,93,HSL,1920,7108
,8V,107,55,,,KYU,1969,7208,,,,,CNC,93,FAI,1913,3832
,8V,107,55,,,NUL,1938,7111,,,,,CNC,93,KYU,1969,7208
,8V,107,55,,,RBY,1947,6722,,,,,CNC,93,FAI,1913,3832
,8V,107,55,,,VEE,1960,7114,,,,,CNC,93,ARC,1945,6729
,8V,107,55,,,VEE,1960,7114,,,,,CNC,93,FYU,1972,3420
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,AZO,1618,4039
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,CHA,1646,3578
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,CID,1649,4043
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,CRW,1661,4285
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,CVG,1662,3488
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,EVV,1682,4018
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,FWA,1697,4041
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,GSO,1713,4008
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,GSP,1714,4034
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,LAN,1745,3544
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,LEX,1756,4017
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,MBS,1765,4128
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,MSP,1791,3858
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,ROA,1842,4016
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,SYR,1880,3745
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9 CR9,91,TYS,1894,3676
,DL,82,3976,,,ATL,1611,3682,,,,9E,CR9,91,XNA,1900,4356
,DL,82,3976,,,AZO,1618,4039,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,CHA,1646,3578,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,CRW,1661,4285,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,CVG,1662,3488,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,DTW,1675,3645,,,,9E,CR9,91,MSY,1793,3861
,DL,82,3976,,,EVV,1682,4018,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,FWA,1697,4041,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,GFK,1701,3442,,,,9E,CR9,91,TVF,1891,7018
,DL,82,3976,,,GSO,1713,4008,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,GSP,1714,4034,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,JFK,1743,3797,,,,9E,CR9,91,MSY,1793,3861
,DL,82,3976,,,LAN,1745,3544,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,LEX,1756,4017,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,LGA,1758,3697,,,,9E,CR9,91,MSY,1793,3861
,DL,82,3976,,,MBS,1765,4128,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,MDT,1771,3542,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,MEM,1774,3473,,,,9E,CR9,91,MSY,1793,3861
,DL,82,3976,,,MSP,1791,3858,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,MSP,1791,3858,,,,9E,CR9,91,MSY,1793,3861
,DL,82,3976,,,MSY,1793,3861,,,,9E,CR9,91,DTW,1675,3645
,DL,82,3976,,,MSY,1793,3861,,,,9E,CR9,91,JFK,1743,3797
,DL,82,3976,,,MSY,1793,3861,,,,9E,CR9,91,LGA,1758,3697
,DL,82,3976,,,MSY,1793,3861,,,,9E,CR9,91,MEM,1774,3473
,DL,82,3976,,,MSY,1793,3861,,,,9E,CR9,91,MSP,1791,3858
,DL,82,3976,,,ROA,1842,4016,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,SYR,1880,3745,,,,9E,CR9,91,ATL,1611,3682
,DL,82,3976,,,TVF,1891,7018,,,,9E,CR9,91,GFK,1701,3442
,DL,82,3976,,,TYS,1894,3676,,,,9E,CR9 CR9 ,91,ATL,1611,3682
,DL,82,3976,,,XNA,1900,4356,,,,9E,CR9,91,ATL,1611,3682
,9K,80,1629,,,ACK,1600,3517,,,,,CNA,92,BOS,1633,3448
,9K,80,1629,,,ACK,1600,3517,,,,,CNA,92,EWB,1683,5737
,9K,80,1629,,,ACK,1600,3517,,,,,CNA,92,MVY,1795,4265
,9K,80,1629,,,ALB,1606,3864,,,,,CNA,92,BOS,1633,3448
,9K,80,1629,,,ALB,1606,3864,,,,,CNA,92,MSS,1792,3546
,9K,80,1629,,,ALB,1606,3864,,,,,CNA,92,OGS,1801,3724
,9K,80,1629,,,AUG,1614,3701,,,,,CNA,92,BOS,1633,3448
,9K,80,1629,,,BHB,1624,4025,,,,,CNA,92,BOS,1633,3448
,9K,80,1629,,,BIL,1626,4021,,,,,CNA,92,GDV,1699,7070
,9K,80,1629,,,BIL,1626,4021,,,,,CNA,92,GGW,1703,5739
,9K,80,1629,,,BIL,1626,4021,,,,,CNA,92,HVR,1724,3604
,9K,80,1629,,,BIL,1626,4021,,,,,CNA,92,OLF,1803,7071
,9K,80,1629,,,BIL,1626,4021,,,,,CNA,92,SDY,1857,7065
,9K,80,1629,,,BOS,1633,3448,,,,,CNA,92,ACK,1600,3517
,9K,80,1629,,,BOS,1633,3448,,,,,CNA,92,ALB,1606,3864
,9K,80,1629,,,BOS,1633,3448,,,,,CNA,92,AUG,1614,3701
,9K,80,1629,,,BOS,1633,3448,,,,,CNA,92,BHB,1624,4025
,9K,80,1629,,,BOS,1633,3448,,,,,CNA,92,HYA,1726,4278
,9K,80,1629,,,BOS,1633,3448,,,,,CNA,92,LEB,1755,5749
,9K,80,1629,,,BOS,1633,3448,,,,,CNA,92,MVY,1795,4265
,9K,80,1629,,,BOS,1633,3448,,,,,CNA,92,PVC,1831,6456
,9K,80,1629,,,BOS,1633,3448,,,,,CNA,92,RKD,1840,4026
,9K,80,1629,,,BOS,1633,3448,,,,,CNA,92,RUT,1847,5767
,9K,80,1629,,,BOS,1633,3448,,,,,CNA,92,SLK,1868,5770
,9K,80,1629,,,CGI,1645,5728,,,,,CNA,92,STL,1877,3678
,9K,80,1629,,,EWB,1683,5737,,,,,CNA,92,ACK,1600,3517
,9K,80,1629,,,EWB,1683,5737,,,,,CNA,92,HPN,1719,3589
,9K,80,1629,,,EWB,1683,5737,,,,,CNA,92,MVY,1795,4265
,9K,80,1629,,,GDV,1699,7070,,,,,CNA,92,BIL,1626,4021
,9K,80,1629,,,GGW,1703,5739,,,,,CNA,92,BIL,1626,4021
,9K,80,1629,,,HPN,1719,3589,,,,,CNA,92,HYA,1726,4278
,9K,80,1629,,,HPN,1719,3589,,,,,CNA,92,LEB,1755,5749
